mã nv,tên nv,ngày sinh,email,sđt,giới tính,bộ phận,chức vụ,năm kn,lương
,Rebecca Crawford,,rebeccacrawford125255@slingacademy.com,(450)663-6253x153,female,Product,Tester,9.0,10500.0
,Kevin Sullivan,,kevinsullivan126732@slingacademy.com,161.488.4614x1551,male,Product,Designer,12.0,15000.0
,Amanda Carey,,amandacarey127761@slingacademy.com,4267904671,female,Product,Tester,12.0,11000.0
,Rachel Sawyer,,rachelsawyer128897@slingacademy.com,(485)441-3528,female,Product,DevOps Engineer,13.0,14500.0
,Garrett Nguyen,,garrettnguyen129742@slingacademy.com,+1-370-218-5389x8154,male,Product,Mobile Developer,4.0,8000.0
,Chelsea Zuniga,,chelseazuniga130347@slingacademy.com,911.596.7824x40746,female,Product,Mobile Developer,14.0,14000.0
,James Johnson,,jamesjohnson131587@slingacademy.com,358.400.3210,male,Product,DevOps Engineer,9.0,13500.0
,James Ruiz,,jamesruiz132283@slingacademy.com,001-015-657-5863x0258,male,Product,Mobile Developer,3.0,8500.0
,Evans brandievans133981@slingacademy.com,,(388)123-2730x36223,female,Product,Mobile Developer,8,11000.0,
,Obrien jenniferobrien134396@slingacademy.com,,001-576-701-2547,female,Product,Web Developer,13,13500.0,
,Whitney Espinoza,,whitneyespinoza135463@slingacademy.com,(395)465-0024x542,female,Product,Mobile Developer,5.0,7500.0
,Brandon Rosario,,brandonrosario136262@slingacademy.com,5804460236,male,Product,Tester,14.0,13000.0
,Jason Rhodes,,jasonrhodes137652@slingacademy.com,+1-182-210-6837x27845,male,Product,DevOps Engineer,7.0,11500.0
,Jesse Michael,,jessemichael138774@slingacademy.com,(372)150-9511,male,Product,Web Developer,9.0,10500.0
,James Knight,,jamesknight139805@slingacademy.com,325.002.8388x1091,male,Product,DevOps Engineer,7.0,12500.0
,Michelle Ramirez,,michelleramirez140860@slingacademy.com,923.789.8867x807,female,Product,Machine Learning Engineer,10.0,12000.0
,Peter Mercado,,petermercado141743@slingacademy.com,890-585-7726x64628,male,Product,DevOps Engineer,4.0,9000.0
,Jason George,,jasongeorge142280@slingacademy.com,001-431-125-6069,male,Product,Mobile Developer,3.0,6500.0
,Katherine Arroyo,,katherinearroyo143289@slingacademy.com,6849186207,female,Product,Machine Learning Engineer,8.0,12000.0
,Ashley Mccann,,ashleymccann144205@slingacademy.com,001-197-825-7624x4162,female,Product,Mobile Developer,12.0,13000.0
,Katherine obinson,,katherinerobinson145289@slingacademy.com,(200)221-4696,female,Product,Machine Learning Engineer,5.0,9500.0
,Michael Clark,,michaelclark146499@slingacademy.com,(726)898-3126x779,male,Product,DevOps Engineer,5.0,10500.0
,Julia Howe,,juliahowe147906@slingacademy.com,270-885-8330x203,female,Product,Mobile Developer,8.0,11000.0
,Karen Roy,,karenroy148650@slingacademy.com,001-579-003-5317x80657,female,Product,Mobile Developer,1.0,7500.0
,Nicole Nguyen,,nicolenguyen149314@slingacademy.com,(601)907-3624x42015,female,Product,Tester,7.0,8500.0
,Chelsea Lewis,,chelsealewis150296@slingacademy.com,406-096-8891x1387,female,Product,Web Developer,12.0,13000.0
